Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD,Producer_Price(USD/tonne)
2014,Russia,Central,Rice,29.17,1405.59,8.17,1.81,6,32.18,43.7,32.04,75.47,No Adaptation,657.55,12374.0
2014,Russia,Central,Rice,29.17,1405.59,8.17,1.81,6,32.18,43.7,32.04,75.47,No Adaptation,657.55,13452.0
2014,Russia,Central,Rice,29.17,1405.59,8.17,1.81,6,32.18,43.7,32.04,75.47,No Adaptation,657.55,12770.0
2014,Russia,Central,Rice,29.17,1405.59,8.17,1.81,6,32.18,43.7,32.04,75.47,No Adaptation,657.55,332.7
2009,China,East,Rice,21.37,636.48,15.22,0.8190000000000001,2,87.06,26.28,27.15,72.84,No Adaptation,152.23,1940.0
2009,China,East,Rice,21.37,636.48,15.22,0.8190000000000001,2,87.06,26.28,27.15,72.84,No Adaptation,152.23,1940.0
2009,China,East,Rice,21.37,636.48,15.22,0.8190000000000001,2,87.06,26.28,27.15,72.84,No Adaptation,152.23,284.0
2019,Australia,New South Wales,Wheat,16.22,1222.35,26.35,1.62,3,76.52,40.08,6.97,44.6,Drought-resistant Crops,698.98,352.0
2019,Australia,New South Wales,Wheat,16.22,1222.35,26.35,1.62,3,76.52,40.08,6.97,44.6,Drought-resistant Crops,698.98,352.0
2019,Australia,New South Wales,Wheat,16.22,1222.35,26.35,1.62,3,76.52,40.08,6.97,44.6,Drought-resistant Crops,698.98,244.7
2017,China,South,Rice,1.05,2618.59,18.72,0.81,1,78.76,29.83,59.12,37.39,Water Management,116.26,3149.3
2017,China,South,Rice,1.05,2618.59,18.72,0.81,1,78.76,29.83,59.12,37.39,Water Management,116.26,3798.0
2017,China,South,Rice,1.05,2618.59,18.72,0.81,1,78.76,29.83,59.12,37.39,Water Management,116.26,3149.3
2017,China,South,Rice,1.05,2618.59,18.72,0.81,1,78.76,29.83,59.12,37.39,Water Management,116.26,466.0
1993,USA,West,Rice,18.05,391.16,18.64,3.96,5,91.05,3.76,99.89,37.87,Crop Rotation,1009.71,176.0
1993,USA,West,Rice,18.05,391.16,18.64,3.96,5,91.05,3.76,99.89,37.87,Crop Rotation,1009.71,176.0
1993,USA,West,Rice,18.05,391.16,18.64,3.96,5,91.05,3.76,99.89,37.87,Crop Rotation,1009.71,176.0
2022,China,South,Wheat,-0.34,2967.32,16.84,1.557,0,81.07,44.5,92.19,64.16,Drought-resistant Crops,269.52,2826.2
2022,China,South,Wheat,-0.34,2967.32,16.84,1.557,0,81.07,44.5,92.19,64.16,Drought-resistant Crops,269.52,2640.8
2022,China,South,Wheat,-0.34,2967.32,16.84,1.557,0,81.07,44.5,92.19,64.16,Drought-resistant Crops,269.52,2689.0
2022,China,South,Wheat,-0.34,2967.32,16.84,1.557,0,81.07,44.5,92.19,64.16,Drought-resistant Crops,269.52,2767.0
2022,China,South,Wheat,-0.34,2967.32,16.84,1.557,0,81.07,44.5,92.19,64.16,Drought-resistant Crops,269.52,2761.2
2022,China,South,Wheat,-0.34,2967.32,16.84,1.557,0,81.07,44.5,92.19,64.16,Drought-resistant Crops,269.52,2785.6
2022,China,South,Wheat,-0.34,2967.32,16.84,1.557,0,81.07,44.5,92.19,64.16,Drought-resistant Crops,269.52,2777.8
2022,China,South,Wheat,-0.34,2967.32,16.84,1.557,0,81.07,44.5,92.19,64.16,Drought-resistant Crops,269.52,2846.2
2022,China,South,Wheat,-0.34,2967.32,16.84,1.557,0,81.07,44.5,92.19,64.16,Drought-resistant Crops,269.52,2894.4
2022,China,South,Wheat,-0.34,2967.32,16.84,1.557,0,81.07,44.5,92.19,64.16,Drought-resistant Crops,269.52,2889.0
2022,China,South,Wheat,-0.34,2967.32,16.84,1.557,0,81.07,44.5,92.19,64.16,Drought-resistant Crops,269.52,2924.4
2022,China,South,Wheat,-0.34,2967.32,16.84,1.557,0,81.07,44.5,92.19,64.16,Drought-resistant Crops,269.52,2974.4
2022,China,South,Wheat,-0.34,2967.32,16.84,1.557,0,81.07,44.5,92.19,64.16,Drought-resistant Crops,269.52,2965.0
2022,China,South,Wheat,-0.34,2967.32,16.84,1.557,0,81.07,44.5,92.19,64.16,Drought-resistant Crops,269.52,2826.2
2022,China,South,Wheat,-0.34,2967.32,16.84,1.557,0,81.07,44.5,92.19,64.16,Drought-resistant Crops,269.52,419.5
2012,Russia,Siberian,Wheat,31.67,863.78,13.9,3.02,7,90.97,22.28,70.33,98.66,Crop Rotation,931.73,6409.0
2012,Russia,Siberian,Wheat,31.67,863.78,13.9,3.02,7,90.97,22.28,70.33,98.66,Crop Rotation,931.73,4755.0
2012,Russia,Siberian,Wheat,31.67,863.78,13.9,3.02,7,90.97,22.28,70.33,98.66,Crop Rotation,931.73,4970.0
2012,Russia,Siberian,Wheat,31.67,863.78,13.9,3.02,7,90.97,22.28,70.33,98.66,Crop Rotation,931.73,5054.0
2012,Russia,Siberian,Wheat,31.67,863.78,13.9,3.02,7,90.97,22.28,70.33,98.66,Crop Rotation,931.73,5072.0
2012,Russia,Siberian,Wheat,31.67,863.78,13.9,3.02,7,90.97,22.28,70.33,98.66,Crop Rotation,931.73,5133.0
2012,Russia,Siberian,Wheat,31.67,863.78,13.9,3.02,7,90.97,22.28,70.33,98.66,Crop Rotation,931.73,5133.0
2012,Russia,Siberian,Wheat,31.67,863.78,13.9,3.02,7,90.97,22.28,70.33,98.66,Crop Rotation,931.73,5699.0
2012,Russia,Siberian,Wheat,31.67,863.78,13.9,3.02,7,90.97,22.28,70.33,98.66,Crop Rotation,931.73,7006.0
2012,Russia,Siberian,Wheat,31.67,863.78,13.9,3.02,7,90.97,22.28,70.33,98.66,Crop Rotation,931.73,7249.0
2012,Russia,Siberian,Wheat,31.67,863.78,13.9,3.02,7,90.97,22.28,70.33,98.66,Crop Rotation,931.73,7507.0
2012,Russia,Siberian,Wheat,31.67,863.78,13.9,3.02,7,90.97,22.28,70.33,98.66,Crop Rotation,931.73,7849.0
2012,Russia,Siberian,Wheat,31.67,863.78,13.9,3.02,7,90.97,22.28,70.33,98.66,Crop Rotation,931.73,8875.0
2012,Russia,Siberian,Wheat,31.67,863.78,13.9,3.02,7,90.97,22.28,70.33,98.66,Crop Rotation,931.73,6409.0
2012,Russia,Siberian,Wheat,31.67,863.78,13.9,3.02,7,90.97,22.28,70.33,98.66,Crop Rotation,931.73,207.8
2009,Russia,Northwestern,Wheat,-2.0,2280.09,12.7,1.81,8,93.41,8.64,85.61,48.73,Organic Farming,692.13,4259.8
2009,Russia,Northwestern,Wheat,-2.0,2280.09,12.7,1.81,8,93.41,8.64,85.61,48.73,Organic Farming,692.13,4259.8
2009,Russia,Northwestern,Wheat,-2.0,2280.09,12.7,1.81,8,93.41,8.64,85.61,48.73,Organic Farming,692.13,134.2
1992,Canada,Prairies,Wheat,29.66,1021.58,18.34,1.242,2,17.03,35.39,93.24,64.24,No Adaptation,291.15,82.0
1992,Canada,Prairies,Wheat,29.66,1021.58,18.34,1.242,2,17.03,35.39,93.24,64.24,No Adaptation,291.15,82.0
1992,Canada,Prairies,Wheat,29.66,1021.58,18.34,1.242,2,17.03,35.39,93.24,64.24,No Adaptation,291.15,67.8
2009,France,Ile-de-France,Rice,20.82,1797.23,12.36,1.89,8,65.4,26.85,9.25,34.94,No Adaptation,927.92,253.9
2009,France,Ile-de-France,Rice,20.82,1797.23,12.36,1.89,8,65.4,26.85,9.25,34.94,No Adaptation,927.92,253.9
2009,France,Ile-de-France,Rice,20.82,1797.23,12.36,1.89,8,65.4,26.85,9.25,34.94,No Adaptation,927.92,352.7
2014,Australia,Queensland,Rice,9.68,2510.94,25.0,1.908,8,49.68,31.24,30.4,81.83,Water Management,393.55,340.0
2014,Australia,Queensland,Rice,9.68,2510.94,25.0,1.908,8,49.68,31.24,30.4,81.83,Water Management,393.55,340.0
2014,Australia,Queensland,Rice,9.68,2510.94,25.0,1.908,8,49.68,31.24,30.4,81.83,Water Management,393.55,306.5
2012,China,North,Wheat,4.62,242.14,8.9,1.575,3,81.95,40.76,20.74,37.09,Organic Farming,746.04,2040.0
2012,China,North,Wheat,4.62,242.14,8.9,1.575,3,81.95,40.76,20.74,37.09,Organic Farming,746.04,2100.0
2012,China,North,Wheat,4.62,242.14,8.9,1.575,3,81.95,40.76,20.74,37.09,Organic Farming,746.04,2120.0
2012,China,North,Wheat,4.62,242.14,8.9,1.575,3,81.95,40.76,20.74,37.09,Organic Farming,746.04,2160.0
2012,China,North,Wheat,4.62,242.14,8.9,1.575,3,81.95,40.76,20.74,37.09,Organic Farming,746.04,2200.0
2012,China,North,Wheat,4.62,242.14,8.9,1.575,3,81.95,40.76,20.74,37.09,Organic Farming,746.04,2200.0
2012,China,North,Wheat,4.62,242.14,8.9,1.575,3,81.95,40.76,20.74,37.09,Organic Farming,746.04,2020.0
2012,China,North,Wheat,4.62,242.14,8.9,1.575,3,81.95,40.76,20.74,37.09,Organic Farming,746.04,2410.0
2012,China,North,Wheat,4.62,242.14,8.9,1.575,3,81.95,40.76,20.74,37.09,Organic Farming,746.04,2260.0
2012,China,North,Wheat,4.62,242.14,8.9,1.575,3,81.95,40.76,20.74,37.09,Organic Farming,746.04,2180.0
2012,China,North,Wheat,4.62,242.14,8.9,1.575,3,81.95,40.76,20.74,37.09,Organic Farming,746.04,2304.0
2012,China,North,Wheat,4.62,242.14,8.9,1.575,3,81.95,40.76,20.74,37.09,Organic Farming,746.04,2320.0
2012,China,North,Wheat,4.62,242.14,8.9,1.575,3,81.95,40.76,20.74,37.09,Organic Farming,746.04,2430.0
2012,China,North,Wheat,4.62,242.14,8.9,1.575,3,81.95,40.76,20.74,37.09,Organic Farming,746.04,2040.0
2012,China,North,Wheat,4.62,242.14,8.9,1.575,3,81.95,40.76,20.74,37.09,Organic Farming,746.04,323.2
2019,Australia,New South Wales,Rice,4.53,2513.56,25.76,0.99,2,90.53,30.61,37.22,30.96,Drought-resistant Crops,299.48,513.0
2019,Australia,New South Wales,Rice,4.53,2513.56,25.76,0.99,2,90.53,30.61,37.22,30.96,Drought-resistant Crops,299.48,513.0
2019,Australia,New South Wales,Rice,4.53,2513.56,25.76,0.99,2,90.53,30.61,37.22,30.96,Drought-resistant Crops,299.48,356.6
2008,Canada,Quebec,Wheat,5.77,1034.34,1.97,0.61,10,98.87,27.45,45.05,57.56,Water Management,150.37,292.3
2008,Canada,Quebec,Wheat,5.77,1034.34,1.97,0.61,10,98.87,27.45,45.05,57.56,Water Management,150.37,292.3
2008,Canada,Quebec,Wheat,5.77,1034.34,1.97,0.61,10,98.87,27.45,45.05,57.56,Water Management,150.37,273.9
2016,Australia,Queensland,Rice,24.16,1676.06,23.13,1.386,10,88.89,43.03,69.48,58.99,Organic Farming,646.38,419.0
2016,Australia,Queensland,Rice,24.16,1676.06,23.13,1.386,10,88.89,43.03,69.48,58.99,Organic Farming,646.38,419.0
2016,Australia,Queensland,Rice,24.16,1676.06,23.13,1.386,10,88.89,43.03,69.48,58.99,Organic Farming,646.38,311.5
2009,Russia,Siberian,Rice,2.6,1906.86,6.83,2.4,2,83.67,25.95,93.42,41.7,Crop Rotation,666.19,11657.9
2009,Russia,Siberian,Rice,2.6,1906.86,6.83,2.4,2,83.67,25.95,93.42,41.7,Crop Rotation,666.19,11657.9
2009,Russia,Siberian,Rice,2.6,1906.86,6.83,2.4,2,83.67,25.95,93.42,41.7,Crop Rotation,666.19,367.3
2008,USA,West,Barley,20.12,1726.06,17.39,3.519,3,20.93,49.05,38.29,75.91,Water Management,1688.01,247.0
2008,USA,West,Barley,20.12,1726.06,17.39,3.519,3,20.93,49.05,38.29,75.91,Water Management,1688.01,247.0
2008,USA,West,Barley,20.12,1726.06,17.39,3.519,3,20.93,49.05,38.29,75.91,Water Management,1688.01,247.0
2022,Brazil,North,Barley,17.9,2948.08,17.69,2.934,2,51.74,6.4,26.94,32.34,Water Management,1142.6,1755.3
2022,Brazil,North,Barley,17.9,2948.08,17.69,2.934,2,51.74,6.4,26.94,32.34,Water Management,1142.6,1755.3
2022,Brazil,North,Barley,17.9,2948.08,17.69,2.934,2,51.74,6.4,26.94,32.34,Water Management,1142.6,339.9
1997,India,West Bengal,Rice,22.27,2731.72,23.5,1.485,6,22.85,0.2,33.03,77.25,Organic Farming,668.63,4336.0
1997,India,West Bengal,Rice,22.27,2731.72,23.5,1.485,6,22.85,0.2,33.03,77.25,Organic Farming,668.63,4336.0
1997,India,West Bengal,Rice,22.27,2731.72,23.5,1.485,6,22.85,0.2,33.03,77.25,Organic Farming,668.63,119.4
2006,Nigeria,North Central,Rice,-1.84,588.7,21.77,1.485,7,74.73,32.34,64.12,51.19,Organic Farming,325.35,65858.0
2006,Nigeria,North Central,Rice,-1.84,588.7,21.77,1.485,7,74.73,32.34,64.12,51.19,Organic Farming,325.35,65858.0
2006,Nigeria,North Central,Rice,-1.84,588.7,21.77,1.485,7,74.73,32.34,64.12,51.19,Organic Farming,325.35,511.9
2006,Nigeria,South West,Rice,13.91,2422.18,14.64,2.13,7,38.39,44.42,50.58,31.47,Water Management,489.71,65858.0
2006,Nigeria,South West,Rice,13.91,2422.18,14.64,2.13,7,38.39,44.42,50.58,31.47,Water Management,489.71,65858.0
2006,Nigeria,South West,Rice,13.91,2422.18,14.64,2.13,7,38.39,44.42,50.58,31.47,Water Management,489.71,511.9
2014,Australia,Western Australia,Barley,11.97,925.85,18.3,4.104,3,57.32,7.4,55.64,30.69,No Adaptation,732.34,267.0
2014,Australia,Western Australia,Barley,11.97,925.85,18.3,4.104,3,57.32,7.4,55.64,30.69,No Adaptation,732.34,267.0
2014,Australia,Western Australia,Barley,11.97,925.85,18.3,4.104,3,57.32,7.4,55.64,30.69,No Adaptation,732.34,240.7
2002,China,East,Rice,11.63,2213.48,21.8,3.1410000000000005,5,59.5,14.17,54.56,60.61,Organic Farming,1459.41,1166.0
2002,China,East,Rice,11.63,2213.48,21.8,3.1410000000000005,5,59.5,14.17,54.56,60.61,Organic Farming,1459.41,1166.0
2002,China,East,Rice,11.63,2213.48,21.8,3.1410000000000005,5,59.5,14.17,54.56,60.61,Organic Farming,1459.41,140.9
2013,Canada,Prairies,Wheat,19.01,1261.46,23.14,3.87,8,13.36,30.06,65.46,66.15,Organic Farming,1632.42,260.4
2013,Canada,Prairies,Wheat,19.01,1261.46,23.14,3.87,8,13.36,30.06,65.46,66.15,Organic Farming,1632.42,291.0
2013,Canada,Prairies,Wheat,19.01,1261.46,23.14,3.87,8,13.36,30.06,65.46,66.15,Organic Farming,1632.42,288.0
2013,Canada,Prairies,Wheat,19.01,1261.46,23.14,3.87,8,13.36,30.06,65.46,66.15,Organic Farming,1632.42,287.0
2013,Canada,Prairies,Wheat,19.01,1261.46,23.14,3.87,8,13.36,30.06,65.46,66.15,Organic Farming,1632.42,285.0
2013,Canada,Prairies,Wheat,19.01,1261.46,23.14,3.87,8,13.36,30.06,65.46,66.15,Organic Farming,1632.42,282.0
2013,Canada,Prairies,Wheat,19.01,1261.46,23.14,3.87,8,13.36,30.06,65.46,66.15,Organic Farming,1632.42,276.0
2013,Canada,Prairies,Wheat,19.01,1261.46,23.14,3.87,8,13.36,30.06,65.46,66.15,Organic Farming,1632.42,242.0
2013,Canada,Prairies,Wheat,19.01,1261.46,23.14,3.87,8,13.36,30.06,65.46,66.15,Organic Farming,1632.42,224.0
2013,Canada,Prairies,Wheat,19.01,1261.46,23.14,3.87,8,13.36,30.06,65.46,66.15,Organic Farming,1632.42,229.0
2013,Canada,Prairies,Wheat,19.01,1261.46,23.14,3.87,8,13.36,30.06,65.46,66.15,Organic Farming,1632.42,235.0
2013,Canada,Prairies,Wheat,19.01,1261.46,23.14,3.87,8,13.36,30.06,65.46,66.15,Organic Farming,1632.42,234.0
2013,Canada,Prairies,Wheat,19.01,1261.46,23.14,3.87,8,13.36,30.06,65.46,66.15,Organic Farming,1632.42,230.0
2013,Canada,Prairies,Wheat,19.01,1261.46,23.14,3.87,8,13.36,30.06,65.46,66.15,Organic Farming,1632.42,260.4
2013,Canada,Prairies,Wheat,19.01,1261.46,23.14,3.87,8,13.36,30.06,65.46,66.15,Organic Farming,1632.42,252.8
2008,Argentina,Northwest,Wheat,3.83,1909.91,5.79,1.11,10,94.1,44.69,14.54,85.88,No Adaptation,544.02,605.7
2008,Argentina,Northwest,Wheat,3.83,1909.91,5.79,1.11,10,94.1,44.69,14.54,85.88,No Adaptation,544.02,605.7
2008,Argentina,Northwest,Wheat,3.83,1909.91,5.79,1.11,10,94.1,44.69,14.54,85.88,No Adaptation,544.02,192.6
1999,China,Central,Rice,31.26,853.27,29.68,1.404,1,14.25,38.96,13.79,52.42,Water Management,614.88,1950.0
1999,China,Central,Rice,31.26,853.27,29.68,1.404,1,14.25,38.96,13.79,52.42,Water Management,614.88,1950.0
1999,China,Central,Rice,31.26,853.27,29.68,1.404,1,14.25,38.96,13.79,52.42,Water Management,614.88,235.6
2008,USA,West,Barley,24.57,1212.42,4.38,3.0,2,34.16,39.46,69.5,85.01,Organic Farming,1374.56,247.0
2008,USA,West,Barley,24.57,1212.42,4.38,3.0,2,34.16,39.46,69.5,85.01,Organic Farming,1374.56,247.0
2008,USA,West,Barley,24.57,1212.42,4.38,3.0,2,34.16,39.46,69.5,85.01,Organic Farming,1374.56,247.0
2003,Nigeria,South East,Wheat,32.69,2947.62,15.42,0.7290000000000001,10,56.93,4.64,14.98,76.36,Drought-resistant Crops,281.67,44000.0
2003,Nigeria,South East,Wheat,32.69,2947.62,15.42,0.7290000000000001,10,56.93,4.64,14.98,76.36,Drought-resistant Crops,281.67,44000.0
2003,Nigeria,South East,Wheat,32.69,2947.62,15.42,0.7290000000000001,10,56.93,4.64,14.98,76.36,Drought-resistant Crops,281.67,340.5
1993,Argentina,Pampas,Barley,16.71,1542.5,5.86,3.85,7,65.03,43.62,92.96,39.76,No Adaptation,873.87,72.0
1993,Argentina,Pampas,Barley,16.71,1542.5,5.86,3.85,7,65.03,43.62,92.96,39.76,No Adaptation,873.87,72.0
1993,Argentina,Pampas,Barley,16.71,1542.5,5.86,3.85,7,65.03,43.62,92.96,39.76,No Adaptation,873.87,72.1
1991,India,Maharashtra,Wheat,10.87,333.73,23.89,1.872,0,81.17,43.3,72.31,91.02,No Adaptation,847.03,3855.0
1991,India,Maharashtra,Wheat,10.87,333.73,23.89,1.872,0,81.17,43.3,72.31,91.02,No Adaptation,847.03,3855.0
1991,India,Maharashtra,Wheat,10.87,333.73,23.89,1.872,0,81.17,43.3,72.31,91.02,No Adaptation,847.03,169.5
2002,Brazil,Southeast,Wheat,16.35,248.51,11.88,3.357,0,24.7,27.26,36.21,81.57,No Adaptation,1403.94,372.5
2002,Brazil,Southeast,Wheat,16.35,248.51,11.88,3.357,0,24.7,27.26,36.21,81.57,No Adaptation,1403.94,372.5
2002,Brazil,Southeast,Wheat,16.35,248.51,11.88,3.357,0,24.7,27.26,36.21,81.57,No Adaptation,1403.94,127.6
2000,Brazil,Southeast,Rice,33.06,465.15,9.33,3.051,4,90.52,15.95,46.05,36.68,Water Management,615.28,249.0
2000,Brazil,Southeast,Rice,33.06,465.15,9.33,3.051,4,90.52,15.95,46.05,36.68,Water Management,615.28,249.0
2000,Brazil,Southeast,Rice,33.06,465.15,9.33,3.051,4,90.52,15.95,46.05,36.68,Water Management,615.28,136.1
2012,USA,South,Rice,11.88,1364.47,8.22,4.18,4,68.36,32.53,71.58,78.06,Water Management,1787.22,333.0
2012,USA,South,Rice,11.88,1364.47,8.22,4.18,4,68.36,32.53,71.58,78.06,Water Management,1787.22,335.0
2012,USA,South,Rice,11.88,1364.47,8.22,4.18,4,68.36,32.53,71.58,78.06,Water Management,1787.22,311.0
2012,USA,South,Rice,11.88,1364.47,8.22,4.18,4,68.36,32.53,71.58,78.06,Water Management,1787.22,311.0
2012,USA,South,Rice,11.88,1364.47,8.22,4.18,4,68.36,32.53,71.58,78.06,Water Management,1787.22,317.0
2012,USA,South,Rice,11.88,1364.47,8.22,4.18,4,68.36,32.53,71.58,78.06,Water Management,1787.22,311.0
2012,USA,South,Rice,11.88,1364.47,8.22,4.18,4,68.36,32.53,71.58,78.06,Water Management,1787.22,313.0
2012,USA,South,Rice,11.88,1364.47,8.22,4.18,4,68.36,32.53,71.58,78.06,Water Management,1787.22,317.0
2012,USA,South,Rice,11.88,1364.47,8.22,4.18,4,68.36,32.53,71.58,78.06,Water Management,1787.22,322.0
2012,USA,South,Rice,11.88,1364.47,8.22,4.18,4,68.36,32.53,71.58,78.06,Water Management,1787.22,315.0
2012,USA,South,Rice,11.88,1364.47,8.22,4.18,4,68.36,32.53,71.58,78.06,Water Management,1787.22,313.0
2012,USA,South,Rice,11.88,1364.47,8.22,4.18,4,68.36,32.53,71.58,78.06,Water Management,1787.22,317.0
2012,USA,South,Rice,11.88,1364.47,8.22,4.18,4,68.36,32.53,71.58,78.06,Water Management,1787.22,322.0
